investor_id,sip_transactions,avg_gap_days,max_gap_days,status
INV000554,6,70.2,171.0,At-Risk
INV000556,8,52.43,156.0,At-Risk
INV000562,6,74.4,197.0,At-Risk
INV000563,7,76.33,198.0,At-Risk
INV000566,7,35.0,119.0,At-Risk
INV000567,6,63.8,166.0,At-Risk
INV000568,6,62.4,180.0,At-Risk
INV000570,8,67.29,186.0,At-Risk
INV000573,7,50.83,154.0,At-Risk
INV000575,6,71.6,155.0,At-Risk
INV000578,7,66.83,164.0,At-Risk
INV000581,7,78.33,160.0,At-Risk
INV000586,7,44.5,111.0,At-Risk
INV000589,9,59.12,90.0,At-Risk
INV000591,7,64.5,112.0,At-Risk
INV000593,6,74.2,179.0,At-Risk
INV000596,9,51.75,140.0,At-Risk
INV000597,6,88.6,198.0,At-Risk
INV000599,7,81.5,171.0,At-Risk
INV000607,7,66.67,209.0,At-Risk
INV000608,6,100.2,324.0,At-Risk
INV000609,6,47.0,87.0,At-Risk
INV000612,11,49.3,169.0,At-Risk
INV000615,7,55.83,139.0,At-Risk
INV000624,7,31.67,53.0,At-Risk
INV000625,6,86.4,134.0,At-Risk
INV000630,7,68.67,161.0,At-Risk
INV000631,6,54.0,145.0,At-Risk
INV000634,9,52.25,147.0,At-Risk
INV000635,6,75.0,240.0,At-Risk
INV000641,6,54.8,126.0,At-Risk
INV000642,9,53.5,139.0,At-Risk
INV000645,6,66.0,127.0,At-Risk
INV000646,7,62.33,138.0,At-Risk
INV000651,6,94.0,304.0,At-Risk
INV000652,6,93.8,262.0,At-Risk
INV000657,8,64.71,106.0,At-Risk
INV000662,8,66.14,185.0,At-Risk
INV000663,6,94.4,247.0,At-Risk
INV000665,10,36.22,148.0,At-Risk
INV000667,6,68.0,134.0,At-Risk
INV000673,6,92.8,235.0,At-Risk
INV000675,6,62.8,155.0,At-Risk
INV000676,11,35.3,106.0,At-Risk
INV000678,7,63.33,140.0,At-Risk
INV000683,9,54.5,137.0,At-Risk
INV000690,8,56.29,134.0,At-Risk
INV000691,6,66.4,163.0,At-Risk
INV000698,9,52.25,219.0,At-Risk
INV000699,6,42.8,147.0,At-Risk
INV000701,7,83.67,298.0,At-Risk
INV000707,9,34.38,106.0,At-Risk
INV000709,7,65.17,128.0,At-Risk
INV000710,6,88.6,264.0,At-Risk
INV000714,9,37.0,95.0,At-Risk
INV000718,7,57.83,118.0,At-Risk
INV000719,7,72.83,185.0,At-Risk
INV000724,6,81.2,227.0,At-Risk
INV000725,7,67.67,92.0,At-Risk
INV000734,8,64.0,180.0,At-Risk
INV000737,6,92.6,168.0,At-Risk
INV000747,6,84.6,205.0,At-Risk
INV000750,9,26.5,84.0,At-Risk
INV000751,9,53.0,193.0,At-Risk
INV000754,7,72.33,103.0,At-Risk
INV000759,7,83.0,156.0,At-Risk
INV000761,7,75.17,173.0,At-Risk
INV000768,8,60.0,124.0,At-Risk
INV000772,6,46.0,81.0,At-Risk
INV000774,7,73.67,169.0,At-Risk
INV000776,8,59.43,116.0,At-Risk
INV000777,6,66.0,121.0,At-Risk
INV000778,8,59.71,182.0,At-Risk
INV000779,6,75.0,153.0,At-Risk
INV000783,6,89.8,187.0,At-Risk
INV000785,6,32.6,66.0,At-Risk
INV000786,9,64.12,199.0,At-Risk
INV000789,8,55.14,225.0,At-Risk
INV000793,8,69.14,149.0,At-Risk
INV000803,7,77.17,147.0,At-Risk
INV000814,6,94.0,195.0,At-Risk
INV000822,7,55.5,141.0,At-Risk
INV000823,7,39.67,69.0,At-Risk
INV000827,8,58.29,122.0,At-Risk
INV000830,6,72.2,165.0,At-Risk
INV000833,8,67.29,182.0,At-Risk
INV000836,6,84.8,123.0,At-Risk
INV000843,6,55.6,102.0,At-Risk
INV000844,7,66.17,151.0,At-Risk
INV000847,6,47.8,75.0,At-Risk
INV000853,10,49.33,193.0,At-Risk
INV000854,9,61.25,170.0,At-Risk
INV000858,9,44.88,157.0,At-Risk
INV000862,6,91.2,372.0,At-Risk
INV000864,6,40.8,106.0,At-Risk
INV000865,9,45.75,99.0,At-Risk
INV000869,6,65.4,100.0,At-Risk
INV000873,7,73.5,299.0,At-Risk
INV000874,9,62.12,149.0,At-Risk
INV000877,6,59.4,159.0,At-Risk
INV000881,10,46.11,155.0,At-Risk
INV000887,7,65.67,268.0,At-Risk
INV000888,7,80.33,166.0,At-Risk
INV000893,7,59.5,147.0,At-Risk
INV000894,6,55.0,105.0,At-Risk
INV000901,6,54.0,95.0,At-Risk
INV000907,6,59.2,139.0,At-Risk
INV000920,6,75.6,220.0,At-Risk
INV000926,6,80.0,111.0,At-Risk
INV000929,7,58.17,116.0,At-Risk
INV000930,8,32.43,118.0,At-Risk
INV000935,9,30.88,73.0,At-Risk
INV000939,8,60.57,154.0,At-Risk
INV000942,7,53.0,92.0,At-Risk
INV000949,7,67.5,135.0,At-Risk
INV000950,6,91.0,215.0,At-Risk
INV000971,7,46.83,139.0,At-Risk
INV000974,7,73.5,143.0,At-Risk
INV000977,10,48.78,147.0,At-Risk
INV000979,6,79.8,115.0,At-Risk
INV000980,8,44.43,121.0,At-Risk
INV000981,6,50.4,104.0,At-Risk
INV000986,7,60.83,182.0,At-Risk
INV000994,6,63.8,167.0,At-Risk
INV001001,8,60.29,137.0,At-Risk
INV001002,7,41.67,85.0,At-Risk
INV001005,6,93.6,206.0,At-Risk
INV001008,7,64.67,191.0,At-Risk
INV001013,6,96.8,164.0,At-Risk
INV001017,6,67.0,142.0,At-Risk
INV001019,9,44.88,180.0,At-Risk
INV001021,7,68.67,186.0,At-Risk
INV001023,8,72.43,202.0,At-Risk
INV001025,6,38.8,76.0,At-Risk
INV001026,6,69.4,132.0,At-Risk
INV001037,10,42.0,86.0,At-Risk
INV001039,6,66.2,187.0,At-Risk
INV001041,7,83.0,195.0,At-Risk
INV001047,7,66.17,142.0,At-Risk
INV001048,8,47.0,84.0,At-Risk
INV001051,8,54.14,139.0,At-Risk
INV001053,8,55.86,116.0,At-Risk
INV001055,6,93.2,177.0,At-Risk
INV001060,9,53.38,89.0,At-Risk
INV001061,9,51.12,141.0,At-Risk
INV001063,8,43.29,120.0,At-Risk
INV001064,9,59.5,160.0,At-Risk
INV001069,8,41.29,98.0,At-Risk
INV001070,6,97.0,329.0,At-Risk
INV001092,7,77.33,186.0,At-Risk
INV001099,8,26.14,63.0,At-Risk
INV001102,7,55.33,87.0,At-Risk
INV001115,6,81.4,290.0,At-Risk
INV001116,9,58.12,194.0,At-Risk
INV001117,8,61.71,137.0,At-Risk
INV001130,7,76.83,131.0,At-Risk
INV001137,7,57.0,120.0,At-Risk
INV001140,6,60.4,125.0,At-Risk
INV001141,6,97.6,132.0,At-Risk
INV001142,7,42.83,106.0,At-Risk
INV001156,6,102.4,175.0,At-Risk
INV001160,8,57.57,99.0,At-Risk
INV001161,6,80.6,159.0,At-Risk
INV001163,7,67.33,255.0,At-Risk
INV001167,6,96.2,207.0,At-Risk
INV001170,6,68.2,119.0,At-Risk
INV001173,6,67.0,146.0,At-Risk
INV001178,7,79.67,140.0,At-Risk
INV001180,6,74.4,198.0,At-Risk
INV001181,8,67.43,163.0,At-Risk
INV001190,6,97.0,198.0,At-Risk
INV001195,8,53.43,167.0,At-Risk
INV001196,6,92.2,169.0,At-Risk
INV001202,8,58.0,103.0,At-Risk
INV001206,6,83.6,190.0,At-Risk
INV001208,7,51.83,107.0,At-Risk
INV001210,9,36.88,93.0,At-Risk
INV001217,8,60.14,205.0,At-Risk
INV001219,8,50.86,118.0,At-Risk
INV001220,7,77.17,104.0,At-Risk
INV001223,7,70.83,175.0,At-Risk
INV001234,8,60.57,119.0,At-Risk
INV001235,9,59.0,161.0,At-Risk
INV001237,6,98.0,182.0,At-Risk
INV001238,7,68.5,220.0,At-Risk
INV001242,6,69.8,128.0,At-Risk
INV001251,6,82.0,223.0,At-Risk
INV001262,7,44.83,116.0,At-Risk
INV001274,7,73.33,161.0,At-Risk
INV001275,7,66.67,140.0,At-Risk
INV001282,6,67.0,196.0,At-Risk
INV001287,6,92.2,157.0,At-Risk
INV001288,7,45.67,148.0,At-Risk
INV001291,6,76.2,181.0,At-Risk
INV001295,9,50.75,165.0,At-Risk
INV001298,7,71.83,158.0,At-Risk
INV001299,9,51.25,121.0,At-Risk
INV001304,6,97.6,177.0,At-Risk
INV001308,9,54.62,147.0,At-Risk
INV001310,6,81.2,232.0,At-Risk
INV001314,10,50.44,130.0,At-Risk
INV001315,7,51.83,124.0,At-Risk
INV001316,6,92.4,198.0,At-Risk
INV001317,6,84.8,162.0,At-Risk
INV001318,10,46.22,150.0,At-Risk
INV001326,8,69.43,182.0,At-Risk
INV001329,6,68.2,97.0,At-Risk
INV001331,6,94.2,202.0,At-Risk
INV001332,7,80.0,179.0,At-Risk
INV001333,7,78.67,185.0,At-Risk
INV001336,8,65.86,198.0,At-Risk
INV001348,7,47.83,121.0,At-Risk
INV001351,7,70.5,208.0,At-Risk
INV001355,6,60.2,187.0,At-Risk
INV001356,6,79.2,191.0,At-Risk
INV001359,7,72.5,313.0,At-Risk
INV001361,7,50.5,103.0,At-Risk
INV001367,6,99.0,222.0,At-Risk
INV001375,7,78.5,176.0,At-Risk
INV001376,7,78.67,181.0,At-Risk
INV001383,8,56.14,117.0,At-Risk
INV001387,9,57.25,130.0,At-Risk
INV001394,8,63.57,171.0,At-Risk
INV001400,6,76.8,266.0,At-Risk
INV001401,6,68.6,197.0,At-Risk
INV001406,10,47.67,202.0,At-Risk
INV001407,6,45.2,141.0,At-Risk
INV001415,8,68.14,173.0,At-Risk
INV001418,6,88.6,187.0,At-Risk
INV001419,6,85.8,137.0,At-Risk
INV001423,8,48.57,105.0,At-Risk
INV001428,6,79.4,174.0,At-Risk
INV001432,6,71.4,175.0,At-Risk
INV001434,6,80.6,178.0,At-Risk
INV001442,9,57.12,238.0,At-Risk
INV001454,7,73.0,176.0,At-Risk
INV001455,8,64.71,153.0,At-Risk
INV001457,6,43.8,63.0,At-Risk
INV001458,7,59.83,101.0,At-Risk
INV001466,6,44.6,82.0,At-Risk
INV001472,6,79.0,141.0,At-Risk
INV001482,6,80.6,280.0,At-Risk
INV001485,9,55.0,150.0,At-Risk
INV001491,6,98.8,260.0,At-Risk
INV001497,9,63.0,138.0,At-Risk
INV001504,9,54.25,134.0,At-Risk
INV001507,6,86.2,167.0,At-Risk
INV001510,7,66.83,124.0,At-Risk
INV001514,7,51.83,72.0,At-Risk
INV001516,6,56.8,85.0,At-Risk
INV001526,6,50.4,134.0,At-Risk
INV001530,7,64.67,122.0,At-Risk
INV001532,7,56.83,101.0,At-Risk
INV001536,7,69.0,189.0,At-Risk
INV001545,6,92.8,208.0,At-Risk
INV001547,7,72.17,119.0,At-Risk
INV001548,6,80.6,197.0,At-Risk
INV001550,7,79.0,191.0,At-Risk
INV001551,6,61.8,131.0,At-Risk
INV001562,10,44.22,146.0,At-Risk
INV001564,8,55.71,157.0,At-Risk
INV001569,6,83.4,314.0,At-Risk
INV001579,7,75.0,193.0,At-Risk
INV001580,7,45.67,119.0,At-Risk
INV001585,6,56.6,182.0,At-Risk
INV001587,7,65.0,144.0,At-Risk
INV001597,7,56.0,165.0,At-Risk
INV001599,6,58.2,133.0,At-Risk
INV001602,6,93.8,294.0,At-Risk
INV001603,7,54.5,93.0,At-Risk
INV001605,8,60.57,136.0,At-Risk
INV001606,7,67.67,148.0,At-Risk
INV001616,9,53.0,117.0,At-Risk
INV001623,6,92.0,188.0,At-Risk
INV001625,6,72.0,209.0,At-Risk
INV001628,8,51.71,139.0,At-Risk
INV001629,7,67.5,82.0,At-Risk
INV001631,6,57.0,101.0,At-Risk
INV001636,9,48.88,159.0,At-Risk
INV001641,6,88.4,168.0,At-Risk
INV001644,6,65.6,89.0,At-Risk
INV001645,6,67.6,202.0,At-Risk
INV001649,10,51.67,120.0,At-Risk
INV001651,7,78.67,130.0,At-Risk
INV001653,6,55.2,94.0,At-Risk
INV001654,7,56.0,137.0,At-Risk
INV001656,8,59.86,246.0,At-Risk
INV001662,6,60.2,147.0,At-Risk
INV001672,9,34.0,130.0,At-Risk
INV001673,11,49.3,181.0,At-Risk
INV001680,9,58.88,200.0,At-Risk
INV001683,7,72.5,186.0,At-Risk
INV001689,6,83.6,153.0,At-Risk
INV001690,7,81.17,114.0,At-Risk
INV001691,6,82.0,254.0,At-Risk
INV001694,8,66.14,144.0,At-Risk
INV001697,9,62.5,287.0,At-Risk
INV001699,6,83.2,183.0,At-Risk
INV001709,6,51.8,84.0,At-Risk
INV001711,7,65.83,189.0,At-Risk
INV001712,6,66.6,144.0,At-Risk
INV001715,8,68.29,188.0,At-Risk
INV001718,6,84.0,237.0,At-Risk
INV001724,7,69.67,134.0,At-Risk
INV001728,8,50.57,131.0,At-Risk
INV001737,7,56.83,191.0,At-Risk
INV001738,9,47.5,153.0,At-Risk
INV001739,9,52.5,96.0,At-Risk
INV001741,6,89.4,260.0,At-Risk
INV001744,7,78.5,155.0,At-Risk
INV001752,7,69.33,170.0,At-Risk
INV001753,11,42.8,128.0,At-Risk
INV001757,8,55.57,121.0,At-Risk
INV001759,10,49.56,126.0,At-Risk
INV001769,6,98.0,166.0,At-Risk
INV001772,6,95.0,184.0,At-Risk
INV001775,8,29.14,65.0,At-Risk
INV001777,9,57.62,156.0,At-Risk
INV001778,8,63.57,283.0,At-Risk
INV001797,7,79.67,132.0,At-Risk
INV001800,7,49.67,132.0,At-Risk
INV001802,7,61.67,151.0,At-Risk
INV001803,6,59.0,127.0,At-Risk
INV001804,8,55.86,126.0,At-Risk
INV001806,8,60.0,209.0,At-Risk
INV001809,6,95.6,249.0,At-Risk
INV001811,9,54.25,196.0,At-Risk
INV001822,6,19.8,43.0,At-Risk
INV001823,8,58.14,172.0,At-Risk
INV001826,6,51.2,128.0,At-Risk
INV001828,8,44.43,91.0,At-Risk
INV001831,6,72.8,181.0,At-Risk
INV001837,7,62.83,157.0,At-Risk
INV001841,6,56.2,129.0,At-Risk
INV001853,8,47.43,95.0,At-Risk
INV001858,8,55.14,261.0,At-Risk
INV001865,7,63.5,145.0,At-Risk
INV001866,6,58.8,117.0,At-Risk
INV001870,7,76.0,164.0,At-Risk
INV001871,7,55.0,101.0,At-Risk
INV001883,6,99.2,203.0,At-Risk
INV001885,6,71.2,128.0,At-Risk
INV001886,9,50.75,129.0,At-Risk
INV001890,6,102.6,207.0,At-Risk
INV001891,6,96.4,261.0,At-Risk
INV001909,8,62.14,121.0,At-Risk
INV001912,6,86.4,256.0,At-Risk
INV001920,7,39.0,76.0,At-Risk
INV001921,8,68.57,225.0,At-Risk
INV001923,7,80.67,106.0,At-Risk
INV001924,7,59.17,119.0,At-Risk
INV001927,6,58.8,91.0,At-Risk
INV001929,6,66.2,242.0,At-Risk
INV001937,8,60.43,253.0,At-Risk
INV001938,9,43.0,112.0,At-Risk
INV001943,6,74.4,171.0,At-Risk
INV001950,7,60.17,134.0,At-Risk
INV001951,7,58.83,124.0,At-Risk
INV001954,6,86.8,273.0,At-Risk
INV001955,6,76.0,199.0,At-Risk
INV001961,6,83.4,234.0,At-Risk
INV001969,6,79.2,163.0,At-Risk
INV001971,8,54.71,87.0,At-Risk
INV001972,8,42.43,153.0,At-Risk
INV001978,6,83.2,112.0,At-Risk
INV001979,6,55.4,100.0,At-Risk
INV001982,6,85.8,289.0,At-Risk
INV001986,7,47.67,98.0,At-Risk
INV001987,7,67.0,241.0,At-Risk
INV001990,8,45.29,91.0,At-Risk
INV001993,6,56.6,147.0,At-Risk
INV001995,6,48.6,94.0,At-Risk
INV001997,6,88.6,168.0,At-Risk
INV002001,6,84.8,335.0,At-Risk
INV002006,6,73.6,157.0,At-Risk
INV002010,6,74.6,103.0,At-Risk
INV002017,7,44.67,99.0,At-Risk
INV002018,6,63.6,106.0,At-Risk
INV002019,6,68.8,117.0,At-Risk
INV002025,7,55.83,92.0,At-Risk
INV002033,7,55.0,123.0,At-Risk
INV002034,8,69.0,166.0,At-Risk
INV002037,6,33.2,61.0,At-Risk
INV002038,6,84.0,202.0,At-Risk
INV002051,6,78.6,159.0,At-Risk
INV002052,7,44.17,114.0,At-Risk
INV002069,10,47.56,95.0,At-Risk
INV002070,7,81.33,118.0,At-Risk
INV002083,10,51.67,193.0,At-Risk
INV002085,6,65.0,220.0,At-Risk
INV002090,6,90.2,231.0,At-Risk
INV002092,7,33.5,54.0,At-Risk
INV002101,6,80.2,248.0,At-Risk
INV002102,6,44.8,63.0,At-Risk
INV002107,8,71.14,298.0,At-Risk
INV002111,8,62.43,123.0,At-Risk
INV002119,6,78.0,195.0,At-Risk
INV002121,7,68.5,197.0,At-Risk
INV002122,7,40.33,97.0,At-Risk
INV002127,6,60.2,113.0,At-Risk
INV002134,7,82.67,180.0,At-Risk
INV002138,6,91.8,189.0,At-Risk
INV002142,9,45.5,162.0,At-Risk
INV002143,8,63.57,148.0,At-Risk
INV002149,8,42.29,215.0,At-Risk
INV002150,6,73.6,216.0,At-Risk
INV002151,9,60.38,201.0,At-Risk
INV002153,7,67.83,194.0,At-Risk
INV002154,6,89.4,175.0,At-Risk
INV002155,6,78.0,190.0,At-Risk
INV002157,7,58.5,142.0,At-Risk
INV002159,6,65.0,104.0,At-Risk
INV002162,9,58.38,198.0,At-Risk
INV002166,6,99.2,248.0,At-Risk
INV002171,7,55.83,150.0,At-Risk
INV002177,7,73.0,330.0,At-Risk
INV002178,8,66.43,236.0,At-Risk
INV002179,8,54.14,171.0,At-Risk
INV002182,7,70.5,148.0,At-Risk
INV002185,6,48.4,92.0,At-Risk
INV002186,7,74.83,167.0,At-Risk
INV002187,7,67.83,221.0,At-Risk
INV002195,9,49.25,154.0,At-Risk
INV002196,8,62.14,115.0,At-Risk
INV002198,9,43.0,93.0,At-Risk
INV002199,7,50.83,94.0,At-Risk
INV002202,8,70.43,276.0,At-Risk
INV002206,7,49.0,141.0,At-Risk
INV002208,7,71.33,142.0,At-Risk
INV002211,7,63.83,109.0,At-Risk
INV002216,8,61.71,172.0,At-Risk
INV002218,6,67.8,181.0,At-Risk
INV002219,8,70.86,166.0,At-Risk
INV002228,6,68.6,109.0,At-Risk
INV002229,6,64.6,101.0,At-Risk
INV002230,8,57.57,171.0,At-Risk
INV002232,7,69.17,174.0,At-Risk
INV002236,7,73.67,119.0,At-Risk
INV002237,7,51.67,142.0,At-Risk
INV002240,7,77.83,266.0,At-Risk
INV002241,7,65.67,124.0,At-Risk
INV002251,6,62.6,157.0,At-Risk
INV002256,6,75.6,115.0,At-Risk
INV002259,7,45.33,89.0,At-Risk
INV002260,6,77.8,235.0,At-Risk
INV002265,7,63.17,244.0,At-Risk
INV002277,7,67.33,127.0,At-Risk
INV002280,7,71.67,182.0,At-Risk
INV002282,6,53.2,102.0,At-Risk
INV002284,6,85.0,277.0,At-Risk
INV002290,6,61.6,112.0,At-Risk
INV002294,8,48.71,163.0,At-Risk
INV002295,7,64.5,159.0,At-Risk
INV002298,6,23.2,37.0,At-Risk
INV002304,10,42.56,104.0,At-Risk
INV002315,7,71.83,174.0,At-Risk
INV002319,7,60.0,123.0,At-Risk
INV002322,6,63.4,102.0,At-Risk
INV002327,6,76.4,215.0,At-Risk
INV002329,7,57.0,183.0,At-Risk
INV002342,6,74.2,212.0,At-Risk
INV002343,9,57.75,115.0,At-Risk
INV002347,9,40.5,79.0,At-Risk
INV002348,6,94.4,166.0,At-Risk
INV002349,6,52.2,75.0,At-Risk
INV002351,6,77.2,204.0,At-Risk
INV002357,7,68.33,240.0,At-Risk
INV002360,9,56.12,129.0,At-Risk
INV002361,6,55.4,198.0,At-Risk
INV002367,7,52.5,134.0,At-Risk
INV002368,7,61.17,215.0,At-Risk
INV002369,6,60.0,136.0,At-Risk
INV002370,7,70.17,237.0,At-Risk
INV002372,6,95.2,133.0,At-Risk
INV002373,8,70.14,154.0,At-Risk
INV002374,6,21.2,34.0,Regular
INV002384,10,39.11,92.0,At-Risk
INV002388,6,33.2,84.0,At-Risk
INV002389,10,50.78,126.0,At-Risk
INV002390,6,47.0,100.0,At-Risk
INV002391,6,40.2,124.0,At-Risk
INV002395,6,97.0,225.0,At-Risk
INV002400,9,55.38,141.0,At-Risk
INV002401,8,59.14,125.0,At-Risk
INV002402,7,47.17,89.0,At-Risk
INV002407,7,47.83,167.0,At-Risk
INV002409,8,55.57,125.0,At-Risk
INV002413,8,53.0,189.0,At-Risk
INV002415,8,57.43,110.0,At-Risk
INV002417,7,83.33,190.0,At-Risk
INV002418,6,91.6,128.0,At-Risk
INV002420,6,72.8,107.0,At-Risk
INV002422,10,50.33,139.0,At-Risk
INV002429,6,78.6,216.0,At-Risk
INV002434,6,88.2,217.0,At-Risk
INV002437,7,49.17,212.0,At-Risk
INV002445,8,38.14,117.0,At-Risk
INV002453,7,63.0,87.0,At-Risk
INV002458,6,72.4,232.0,At-Risk
INV002459,8,53.71,161.0,At-Risk
INV002463,6,95.4,236.0,At-Risk
