amfi_code,scheme_name,fund_house,category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,expense_ratio_pct,return_score,sharpe_score,sortino_score,alpha_score,drawdown_score,expense_score,fund_score,rank
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,41.85299002066023,18.417429266835228,,0.6621241011051734,0.6753765859459133,16.25385327998104,0.04189646272811977,-19.82565826298267,1.41,0.0,10.0,7.125,7.875,3.5,5.5,34.0,22
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,7.125369741102916,6.694394239074852,,0.30425182333434436,0.3058200841214641,6.4556774953759986,-0.00040074423947840013,-0.11629327956168556,0.6,0.0,6.5,4.875,3.375,9.75,9.5,34.0,23
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,18.12461925339035,18.03973982038829,,0.4780917280523983,0.482227136936629,13.173190226099432,-0.004050271130006534,-14.844576917771747,1.54,0.0,8.0,6.0,6.375,6.25,2.625,29.25,24
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,15.455077019290385,11.242518737374208,,0.31160409740522227,0.31039922555460453,11.98910097121797,0.009054412621739154,-21.11727956013212,0.78,0.0,7.0,5.25,5.625,3.0,7.75,28.62,25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,15.822866445588701,8.0060298597036,,0.4564261243061777,0.4591312587602881,17.50072167561127,0.1034966369133759,-23.34488614483311,1.53,0.0,7.5,5.625,8.625,2.25,3.125,27.12,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,16.849551529398422,17.263014444437943,,0.5092559163430059,0.5162632852021568,13.042924450705446,0.036356399022199795,-17.57361416468729,1.59,0.0,8.5,6.375,6.0,4.25,1.5,26.62,27
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,13.59304393755194,25.549670172502026,,0.632319243278044,0.6609049619141061,16.211256794033254,0.016682689437770827,-21.539827112383225,1.64,0.0,9.0,6.75,7.5,2.75,0.375,26.38,28
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,19.781538524100494,20.8115598266319,,0.14404122210428397,0.14341873925667284,8.232801295222094,0.02588321244009315,-21.751396370148225,0.75,0.0,5.5,4.125,4.875,2.5,8.25,25.25,29
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.525880326360788,5.838988442093762,,-0.17572336328229415,-0.17650902308220498,5.620895216638369,-0.006413850728276477,-4.328728923970093,0.77,0.0,3.0,2.25,2.625,9.0,8.0,24.88,30
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,10.462462788080341,4.061259859840338,,-0.30601321923949243,-0.3053724075580029,5.074772999976104,0.0012566742731558458,-8.316361763638703,0.55,0.0,1.5,1.125,2.25,8.75,10.0,23.62,31
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,7.241777200393584,6.314299292105274,,-0.41722938246152713,-0.40741087117080227,6.086145795787115,0.00026670968338238433,-0.16224980244717857,0.79,0.0,1.0,0.75,3.0,9.5,7.5,21.75,32
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,3.7075527018896492,3.9154793546847033,,-0.5154378235861931,-0.5159184013047049,4.281792031506088,0.0011582183155281463,-4.308263824636349,0.56,0.0,0.5,0.375,1.125,9.25,9.75,21.0,33
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-24.000309180292632,-4.151453816140693,,0.17048069518831582,0.17354261491325482,10.897091901704538,-0.06528924788351524,-35.44691649336603,1.53,0.0,6.0,4.5,5.25,0.75,3.125,19.62,34
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.61022963455828,0.5257668501786883,,0.04524532299034367,0.04564231073474599,6.899529821677549,0.009730745001153637,-14.401617909337261,1.64,0.0,4.5,3.375,4.125,6.5,0.375,18.88,35
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,13.957994357447735,-1.337083602283895,,-0.049101169454301964,-0.04864579193920025,4.882421594553985,0.06200180438267168,-52.57422117012851,0.72,0.0,4.0,3.0,1.875,0.25,8.875,18.0,36
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,22.518986942465922,7.75416750547262,,0.08727318479040212,0.08571675699461598,7.80443887615508,0.01805687420811816,-24.003511326274886,1.56,0.0,5.0,3.75,4.5,2.0,2.0,17.25,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-42.81949516662213,-11.703299329834216,,-0.0679256784693741,-0.06833041952547857,4.801595363775955,-0.066951174639292,-51.677753708526566,1.38,0.0,3.5,2.625,1.5,0.5,6.0,14.12,38
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-16.807959958672036,-0.7672319440258146,,-0.1947073805832031,-0.19071948105562395,2.8969397866379443,-0.04212502902189432,-28.00112356639287,1.51,0.0,2.0,1.875,0.375,1.5,4.125,9.88,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-2.2257773892688015,1.2923525892154508,,-0.18765046878624,-0.1915897293451984,3.747580763443281,-0.0582684314388089,-24.734440880673304,1.55,0.0,2.5,1.5,0.75,1.75,2.25,8.75,40
